형태소,품사,분류,카운트
아쉬웠지만,Adjective,5,7
아쉽,Adjective,4,2
아쉽,Adjective,5,2
아쉽게도,Adjective,4,1
아쉽게도,Adjective,5,2
아쉽고,Adjective,2,1
아쉽고,Adjective,3,2
아쉽고,Adjective,5,2
아쉽긴,Adjective,3,1
아쉽긴,Adjective,4,6
아쉽긴,Adjective,5,2
아쉽네,Adjective,4,1
아쉽네요,Adjective,3,2
아쉽네요,Adjective,4,11
아쉽네요,Adjective,5,10
아쉽다,Adjective,3,2
아쉽다,Adjective,5,2
아쉽다고,Adjective,5,1
아쉽다면,Adjective,4,1
아쉽다면,Adjective,5,1
아쉽더라구요,Adjective,5,1
아쉽습니다,Adjective,3,1
아쉽습니다,Adjective,4,4
아쉽습니다,Adjective,5,3
아쉽지만,Adjective,1,1
아쉽지만,Adjective,4,2
아쉽지만,Adjective,5,6
아쉽진,Adjective,5,1
아슬,Noun,5,1
아슬했고,Adjective,5,1
아시겠지만,Verb,5,3
아시곤,Verb,5,1
아시아,Noun,1,1
아시아,Noun,5,1
아시안,Noun,5,1
아신다면,Verb,4,1
아실,Verb,4,1
아실껍니,Noun,5,1
아실텐데요,Verb,1,1
아었다,Noun,5,1
아예,Noun,1,2
아예,Noun,3,1
아예,Noun,5,3
아웃,Noun,1,2
아웃,Noun,2,1
아웃,Noun,3,1
아웃,Noun,5,5
아유,Noun,5,1
아이,Noun,1,14
아이,Noun,2,12
아이,Noun,3,18
아이,Noun,4,81
아이,Noun,5,321
아이스크림,Noun,5,6
아이컨택,Noun,5,2
아일랜드,Noun,4,1
아일랜드,Noun,5,2
아자,Exclamation,5,2
아장아장,Adverb,5,1
아저씨,Noun,1,2
아주,Noun,1,3
아주,Noun,3,7
아주,Noun,4,30
아주,Noun,5,142
아주,Noun,8,2
아줌마,Noun,5,1
아직,Adverb,1,2
아직,Adverb,3,3
아직,Adverb,4,7
아직,Adverb,5,12
아직도,Adverb,1,1
아직도,Adverb,4,2
아직도,Adverb,5,5
아침,Noun,1,8
아침,Noun,2,1
아침,Noun,3,7
아침,Noun,4,28
아침,Noun,5,65
아침식사,Noun,4,3
아침식사,Noun,5,5
아케이드,Noun,5,1
아쿠아,Noun,3,1
아트,Noun,1,2
아트,Noun,5,2
아티,Noun,5,1
아파,Adjective,1,1
아파서,Adjective,5,1
아팠고,Adjective,4,1
아팠는데,Adjective,5,1
아팠다,Adjective,1,1
아팠던,Adjective,2,1
아팠습니다,Adjective,4,1
아팠음,Adjective,3,1
아프다네요,Adjective,5,1
아프지,Adjective,4,1
아픈,Adjective,5,1
아픔,Noun,1,1
아픔,Noun,4,1
아픕니다,Adjective,2,1
악취,Noun,1,2
악취,Noun,2,1
안,Noun,1,16
안,Noun,2,9
안,Noun,3,7
안,Noun,4,26
안,Noun,5,82
안,VerbPrefix,1,43
안,VerbPrefix,2,11
안,VerbPrefix,3,13
안,VerbPrefix,4,23
안,VerbPrefix,5,59
안가고도,Verb,5,1
안가는게,Verb,1,1
안감,Noun,1,3
안감,Noun,3,1
안개,Noun,4,1
안겨,Verb,5,1
안경,Noun,1,1
안경,Noun,3,1
안고,Noun,1,1
안고,Noun,2,1
안고,Noun,4,1
안고,Noun,5,3
안고자면,Verb,5,1
안나,Noun,4,3
안나,Noun,5,5
안나는것도,Verb,4,1
안나는데,Verb,5,1
안내,Noun,1,9
안내,Noun,2,4
안내,Noun,3,2
안내,Noun,4,10
안내,Noun,5,52
안내받아,Verb,5,2
안내받았습니다,Verb,5,1
안내받았으나,Verb,5,2
안내받은,Verb,1,2
안녕하세요,Adjective,5,2
안녕히,Adjective,3,1
안덕면,Noun,4,1
안되,Adjective,4,1
안되,Adjective,5,2
안되게,Adjective,5,1
안되겠지만,Adjective,4,1
안되고,Adjective,1,3
안되고,Adjective,3,1
안되고,Adjective,4,2
안되고요,Adjective,2,1
안되구요,Adjective,5,1
안되나,Adjective,4,1
안되나요,Adjective,1,1
안되네요,Adjective,1,2
안되네요,Adjective,3,1
안되는,Adjective,1,4
안되는,Adjective,2,1
안되는,Adjective,3,2
안되는,Adjective,4,1
안되는,Adjective,5,1
안되는거,Adjective,2,1
안되는거,Adjective,4,1
안되는거,Adjective,5,1
안되는건데,Adjective,5,1
안되는게,Adjective,4,1
안되다,Adjective,5,1
안되더라구요,Adjective,4,1
안되면,Adjective,1,1
안되면,Adjective,3,1
안되서,Adjective,1,1
안되서,Adjective,2,1
안되서,Adjective,3,3
안되서,Adjective,4,3
안되서,Adjective,5,8
안되어,Adjective,1,4
안되어,Adjective,2,2
안되어,Adjective,3,2
안되어,Adjective,4,3
안되어,Adjective,5,3
안되어도,Adjective,3,1
안되어서,Adjective,1,2
안되어서,Adjective,4,3
안되어서,Adjective,5,3
안되어요,Adjective,2,1
안되어있는,Adjective,4,1
안되어있어,Adjective,1,1
안되어있어,Adjective,4,1
안되어있어서,Adjective,3,1
안되어있어서,Adjective,4,1
안되었습니다,Adjective,3,1
안되었으며,Adjective,8,1
안되었으면,Adjective,1,1
안되었음,Adjective,3,1
안되었지만,Adjective,2,1
안되요,Adjective,5,1
안되지만,Adjective,4,1
안되지만,Adjective,5,1
안된,Adjective,1,3
안된,Adjective,3,3
안된,Adjective,5,3
안된거,Adjective,5,1
안된다,Adjective,1,1
안된다,Adjective,3,1
안된다고,Adjective,1,4
안된다고,Adjective,2,1
안된다고,Adjective,3,1
안된다고,Adjective,5,1
안된다는,Adjective,2,1
안된단다,Adjective,1,1
안된듯,Adjective,5,1
안될까,Adjective,1,1
안될꺼를,Adjective,1,1
안될듯,Adjective,1,1
안될수도,Adjective,5,1
안될텐데,Adjective,3,1
안됨,Adjective,1,4
안됨,Adjective,3,1
안됨,Adjective,4,7
안됨,Adjective,5,2
안됩니다,Adjective,2,2
안됩니다,Adjective,3,1
안됩니다,Adjective,4,1
안됩니다,Adjective,5,1
안됩니당,Adjective,4,1
안됬다는,Adjective,5,1
안듭니,Noun,1,1
안락,Noun,5,1
안락하고,Adjective,4,2
안락하고,Adjective,5,3
안락하지,Adjective,2,1
안락한,Adjective,5,4
안락함을,Adjective,4,1
안락함을,Adjective,5,1
안락함이었습니다,Adjective,5,1
안락합니다,Adjective,5,2
안락해서,Adjective,5,1
안락했습니다,Adjective,5,1
안락했어요,Adjective,5,1
안방,Noun,5,1
안보,Noun,1,1
안보,Noun,3,1
안보,Noun,4,1
안보,Noun,5,2
안부,Noun,5,1
안성맞춤,Noun,4,1
안성맞춤,Noun,5,4
안식처,Noun,4,1
안심,Noun,5,11
안쓰러웠습니다,Adjective,5,1
안아,Verb,3,1
안옵니다,Verb,1,1
안옵니다,Verb,3,1
안은,Verb,5,2
안이,Noun,1,1
안전,Noun,1,2
안전,Noun,2,1
안전,Noun,4,2
안전,Noun,5,9
안전하게,Adjective,1,1
안전하게,Adjective,5,2
안전하고,Adjective,4,1
안전하고,Adjective,5,2
안전한,Adjective,1,1
안전한,Adjective,5,1
안정,Noun,5,3
안좋고,Adjective,1,1
안좋다고,Adjective,5,1
안좋던,Adjective,5,1
안좋아,Adjective,1,1
안좋아,Adjective,3,1
안좋아도,Adjective,5,1
안좋아서,Adjective,3,3
안좋아서,Adjective,4,2
안좋아요,Adjective,3,1
안좋았는데,Adjective,5,1
안좋았다,Adjective,2,1
안좋았습니다,Adjective,2,1
안좋았어요,Adjective,4,1
안좋으면,Adjective,4,1
안좋으면,Adjective,5,1
안좋은,Adjective,1,2
안좋은,Adjective,4,1
안주,Noun,5,1
안줘요,Verb,5,1
안쪽,Noun,2,1
안쪽,Noun,4,3
안쪽,Noun,5,2
안타,Noun,5,1
안타까,Adjective,2,1
안타까운,Adjective,4,1
안타까웠는데,Adjective,4,1
안타까웠어요,Adjective,5,1
안타깝게도,Adjective,4,1
안타깝습니다,Adjective,4,1
안타깝습니다,Adjective,5,1
안팍이고,Foreign,5,1
안팎,Noun,3,1
안팎,Noun,5,1
안하는,Verb,4,1
안함,Noun,1,1
안함,Noun,5,1
안해,Noun,1,1
안해,Noun,2,1
안해,Noun,3,2
안해,Noun,4,2
안해,Noun,5,2
앉게,Verb,5,1
앉기가,Verb,5,1
앉아,Verb,4,1
앉아,Verb,5,3
앉아서,Verb,5,2
앉아있었습니다,Verb,4,1
앉아있으면,Verb,5,1
앉아있을,Verb,2,1
않,Verb,1,1
않게,Verb,4,4
않게,Verb,5,6
않겠다는,Verb,5,1
않고,Verb,1,6
않고,Verb,2,1
않고,Verb,3,6
않고,Verb,4,16
않고,Verb,5,42
않고도,Verb,5,3
않고요,Verb,4,1
않구,Verb,4,1
않구,Verb,5,1
않나,Verb,1,1
않나,Verb,2,1
않나,Verb,5,1
않나요,Verb,5,1
않네요,Verb,2,1
않네요,Verb,3,1
않네요,Verb,4,2
않네요,Verb,5,2
않는,Verb,1,3
않는,Verb,2,2
않는,Verb,3,2
않는,Verb,4,6
않는,Verb,5,9
않는거,Verb,5,1
않는건,Verb,4,1
않는것,Verb,5,1
않는것이,Verb,5,2
않는다,Verb,3,1
않는다,Verb,5,1
않는다고,Verb,1,1
않는다는,Verb,1,1
않는다는,Verb,4,1
않는다면,Verb,3,1
않는다면,Verb,4,1
않는데,Verb,5,1
않는지요,Verb,2,1
않는한,Verb,5,1
않다,Verb,1,1
않다,Verb,3,1
않다,Verb,4,1
않다,Verb,5,1
않다고,Verb,1,3
않다고,Verb,5,1
않다는,Verb,1,1
않다는,Verb,3,1
않다는,Verb,5,1
않다면,Verb,3,1
않다면,Verb,5,1
않더군요,Verb,5,1
않더라구요,Verb,2,1
않더라구요,Verb,4,1
않더라도,Verb,4,1
않더라도,Verb,5,1
않던,Verb,5,1
않도,Verb,5,1
않도록,Verb,4,1
않되,Verb,2,1
않습니다,Verb,1,12
않습니다,Verb,2,6
않습니다,Verb,3,7
않습니다,Verb,4,6
않습니다,Verb,5,8
않아,Verb,1,7
않아,Verb,2,2
않아,Verb,3,4
않아,Verb,4,16
않아,Verb,5,22
않아도,Verb,1,1
않아도,Verb,2,1
않아도,Verb,4,4
않아도,Verb,5,18
않아서,Verb,1,5
않아서,Verb,2,2
않아서,Verb,3,2
않아서,Verb,4,11
않아서,Verb,5,26
않아서요,Verb,5,1
않아어,Verb,4,1
않아요,Verb,1,1
않아요,Verb,2,4
않아요,Verb,4,3
않아요,Verb,5,5
않아욬,Noun,5,1
않았,Verb,3,1
않았고,Verb,2,3
않았고,Verb,3,2
않았고,Verb,4,2
않았고,Verb,5,2
않았구요,Verb,3,1
않았구요,Verb,4,1
않았구요,Verb,5,2
않았기에,Verb,4,1
않았나,Verb,4,1
않았네,Verb,5,1
않았네요,Verb,4,1
않았네요,Verb,5,1
않았는데,Verb,1,1
않았는데,Verb,4,1
않았는데,Verb,5,5
않았다,Verb,1,1
않았다,Verb,3,1
않았다,Verb,4,1
않았다,Verb,5,2
않았다고,Verb,2,1
않았다는,Verb,5,1
않았더라면,Verb,1,1
않았던,Verb,1,1
않았습니다,Verb,1,4
않았습니다,Verb,2,5
않았습니다,Verb,3,2
않았습니다,Verb,4,4
않았습니다,Verb,5,14
않았아요,Verb,3,1
않았어요,Verb,1,1
않았어요,Verb,2,1
않았어요,Verb,3,3
않았어요,Verb,4,11
않았어요,Verb,5,5
않았었나,Verb,3,1
않았으나,Verb,3,2
않았으나,Verb,4,1
않았으나,Verb,5,1
않았으나,Verb,8,1
않았으면,Verb,2,1
않았으면,Verb,5,1
않았음,Verb,1,1
않았음,Verb,2,1
않았음,Verb,3,2
않았음,Verb,5,1
않았음에도,Verb,1,1
않았지만,Verb,1,1
않았지만,Verb,4,2
않았지만,Verb,5,15
않으,Verb,2,1
않으것,Verb,4,1
않으나,Verb,1,2
않으니,Verb,3,2
않으니,Verb,5,1
않으니까,Verb,4,1
않으려고,Verb,4,1
않으려고,Verb,5,1
않으며,Verb,5,1
않으면,Verb,5,2
않으셔도,Verb,5,3
않으셨어요,Verb,2,1
않으시더군요,Verb,2,1
않은,Verb,1,7
않은,Verb,2,2
않은,Verb,3,9
않은,Verb,4,8
않은,Verb,5,16
않은것,Verb,3,1
않은다면,Verb,5,1
않은데,Verb,4,1
않은데,Verb,5,4
않은듯,Verb,5,2
않을,Verb,1,3
않을,Verb,2,2
않을,Verb,3,2
않을,Verb,4,1
않을,Verb,5,1
않을거,Verb,5,1
않을것,Verb,1,1
않을것,Verb,5,1
않을까,Verb,4,5
않을까,Verb,5,5
않을까요,Verb,5,1
않을꺼,Verb,4,1
않을꺼란,Verb,5,1
않을듯,Verb,4,1
않을듯,Verb,5,1
않을만큼,Verb,5,1
않을수,Verb,5,1
않을지,Verb,5,1
않음,Verb,1,7
않음,Verb,2,5
않음,Verb,3,8
않음,Verb,4,2
않음,Verb,5,3
않지만,Verb,3,2
않지만,Verb,4,6
않지만,Verb,5,8
알,Noun,1,5
알,Noun,2,2
알,Noun,3,3
알,Noun,4,4
알,Noun,5,17
알것,Verb,3,1
알것,Verb,5,2
알겠더라구요,Verb,5,1
알고싶은,Verb,5,1
알고있었는데,Verb,5,1
알고있었습니다,Verb,1,1
알기로,Verb,4,1
알레르기,Noun,3,1
알려,Verb,1,1
알려,Verb,5,2
알려시면서,Verb,5,1
알려졌을텐데,Verb,4,1
알려주더군요,Verb,3,1
알려주셔서,Verb,5,8
알려주셔야,Verb,1,1
알려주셨습니다,Verb,5,1
알려주셨어요,Verb,5,1
알려주셨었죠,Verb,2,1
알려주셨으면,Verb,5,1
알려주시고,Verb,5,4
알려주시면서,Verb,5,1
알려주어서,Verb,5,1
알려주지도,Verb,1,1
알려주지도,Verb,3,1
알려줄,Verb,1,1
알려지면,Verb,5,1
알맞고,Adjective,5,1
알바,Noun,1,2
알바,Noun,5,1
알바생,Noun,2,1
알수,Verb,3,1
알수있습니다,Verb,2,1
알아내고,Verb,1,1
알아내는,Verb,4,1
알아보고,Verb,5,1
알아보니,Verb,5,1
알아보다가,Verb,5,1
알아보던,Verb,5,1
알아본,Verb,5,2
알아봐주려,Verb,5,1
알아봐주시고,Verb,5,1
알아봤는데,Verb,4,1
알아서,Verb,4,1
알아서,Verb,5,1
알아주셔서,Verb,5,1
알아채,Verb,5,1
알았네요,Verb,2,1
알았는데,Verb,2,1
알았는데,Verb,4,3
알았는데,Verb,5,5
알았다,Verb,2,1
알았다면,Verb,2,1
알았더라면,Verb,5,1
알았어요,Verb,3,1
알았으면,Verb,1,1
알았으면,Verb,3,1
알았음,Verb,3,1
알았지만,Verb,2,1
알았지만,Verb,5,1
알차게,Adjective,4,2
알차게,Adjective,5,6
알차고,Adjective,5,2
알차다,Adjective,5,1
알찬,Adjective,5,3
알참,Adjective,5,1
알콜,Noun,5,1
암,Modifier,1,1
암,Modifier,3,2
암,Modifier,5,1
암튼,Adverb,4,1
암튼,Adverb,5,4
압도,Noun,4,1
압력,Noun,3,2
앗,Noun,4,1
앙,Adverb,5,1
앞,Noun,1,3
앞,Noun,2,4
앞,Noun,3,14
앞,Noun,4,33
앞,Noun,5,74
앞뒤,Noun,1,1
앞뒤,Noun,2,1
앞마당,Noun,5,1
앞바다,Noun,4,1
앞방,Noun,2,1
앞뷰,Noun,5,1
앞쪽,Noun,5,3
앞차,Noun,5,1
애,Noun,1,1
애,Noun,2,1
애,Noun,3,2
애,Noun,4,11
애,Noun,5,25
애가,Noun,5,1
애기,Noun,1,5
애기,Noun,3,2
애기,Noun,4,4
애기,Noun,5,18
애도,Noun,5,1
애리,Noun,4,1
애매,Noun,4,2
애매하게,Adjective,3,1
애매하지만,Adjective,1,1
애매하지만,Adjective,5,1
애매한,Adjective,4,1
애매한것,Adjective,5,1
애매했어요,Adjective,4,1
애메랄드,Noun,5,1
애완,Noun,1,1
애용,Noun,3,1
애월,Noun,2,1
애월,Noun,3,2
애월,Noun,4,2
애월,Noun,5,5
애월쪽,Noun,4,1
애월쪽,Noun,5,3
애정,Noun,2,1
애정,Noun,4,1
애정,Noun,5,1
애초,Noun,3,1
애호박,Noun,3,1
액,Noun,3,1
액,Noun,5,5
액티,Noun,5,1
앤,Noun,4,1
앤빌,Noun,5,1
앤쿡,Noun,4,7
앤쿡,Noun,5,8
앰버,Noun,5,1
앱,Noun,1,1
앱,Noun,4,3
앱,Noun,5,2
앳더,Noun,3,1
야,Exclamation,2,1
야,Exclamation,5,2
야,Josa,3,2
야,Josa,4,1
야간,Noun,3,3
야간,Noun,4,3
야간,Noun,5,4
야경,Noun,3,1
야경,Noun,4,2
야경,Noun,5,19
야마,Noun,5,3
야말로,Josa,5,1
야무지게,Adjective,5,2
야시장,Noun,4,2
야시장,Noun,5,9
야식,Noun,5,1
야외,Noun,1,3
야외,Noun,2,2
야외,Noun,3,4
야외,Noun,4,13
야외,Noun,5,62
야자나무,Noun,4,1
야채,Noun,3,1
야하는,Adjective,4,1
야하는거,Adjective,2,1
야하니,Adjective,5,1
야하지,Adjective,4,1
야한다는,Adjective,1,1
야할,Adjective,2,1
야할,Adjective,5,2
야할거,Adjective,5,1
야할것,Adjective,3,1
야할것,Adjective,4,1
야할것,Adjective,5,1
야할꺼,Adjective,4,1
야할듯,Adjective,1,2
야할듯,Adjective,5,1
야함,Adjective,1,1
야합니다,Adjective,4,2
야합니다,Adjective,5,1
야해서,Adjective,2,1
야해서,Adjective,4,1
야해서,Adjective,5,2
야해요,Adjective,2,1
야해요,Adjective,4,1
야해요,Adjective,5,1
야했네요,Adjective,5,1
야했는데,Adjective,4,1
야했다,Adjective,3,1
야했습니다,Adjective,2,1
야했습니다,Adjective,4,1
약,Modifier,1,4
약,Modifier,4,1
약,Modifier,5,9
약,Modifier,8,1
약,Noun,3,1
약,Noun,4,2
약,Noun,5,2
약간,Noun,1,2
약간,Noun,2,1
약간,Noun,3,9
약간,Noun,4,21
약간,Noun,5,18
약관,Noun,8,1
약국,Noun,5,5
약도,Noun,3,2
약도,Noun,5,4
약속,Noun,1,2
약속,Noun,4,1
약속,Noun,5,4
약시,Noun,5,3
약실,Noun,1,1
약실,Noun,5,1
약품,Noun,3,1
약하게,Adjective,3,1
약하고,Adjective,4,1
약하지도,Adjective,4,1
약한거,Adjective,5,1
약한데,Adjective,5,1
약한듯,Adjective,4,1
약함,Adjective,4,1
약합니다,Adjective,4,1
약해서,Adjective,3,1
약해서,Adjective,4,1
약해서인지,Adjective,5,1
약해진,Verb,3,1
약했어요,Adjective,4,1
약했으며,Adjective,4,1
얇아,Adjective,1,1
얇지도,Adjective,4,1
얌전히,Adjective,1,1
양,Modifier,4,4
양,Modifier,5,2
양,Noun,3,1
양,Noun,4,1
양,Noun,5,2
양고기,Noun,5,2
양도,Noun,4,3
양반,Noun,1,1
양식,Noun,3,1
양식,Noun,4,1
양식,Noun,5,7
양질,Noun,5,1
양쪽,Noun,5,1
양치,Noun,1,1
양파,Noun,3,1
양하,Noun,2,1
양하,Noun,4,1
양해,Noun,1,1
양해,Noun,2,2
양해,Noun,4,2
양호,Noun,2,1
양호,Noun,3,3
양호,Noun,4,3
양호,Noun,5,5
얕아서,Adjective,5,1
얘,Noun,1,2
얘기,Noun,1,5
얘기,Noun,2,2
얘기,Noun,3,3
얘기,Noun,4,4
얘기,Noun,5,9
얘길,Noun,5,1
어,Noun,1,1
어,Noun,2,1
어,Noun,4,4
어,Noun,5,5
어,Suffix,1,1
어,Suffix,2,1
어,Suffix,3,3
어,Suffix,4,3
어,Suffix,5,11
어긴,Verb,1,1
어깨,Noun,1,1
어깨,Noun,5,1
어느,Adverb,1,1
어느,Adverb,2,1
어느,Adverb,3,1
어느,Adverb,4,1
어느,Adverb,5,3
어느,Modifier,2,1
어느,Modifier,3,1
어느,Modifier,4,4
어느,Modifier,5,3
어도,Noun,1,1
어둡고,Adjective,3,1
어드벤쳐,Noun,5,1
어디,Noun,1,4
어디,Noun,2,3
어디,Noun,3,1
어디,Noun,4,4
어디,Noun,5,20
어디가,Noun,2,2
어디가,Noun,3,1
어디가,Noun,4,3
어디가,Noun,5,1
어디서,Adverb,1,2
어디서,Adverb,5,1
어딘,Noun,1,1
어딘,Noun,4,1
어딜,Adverb,3,1
어딜,Adverb,5,4
어떠한,Adjective,2,1
어떠한,Adjective,3,2
어떠한,Adjective,4,1
어떡하냐고,Adjective,1,1
어떤,Adjective,1,1
어떤,Adjective,4,1
어떤,Adjective,5,6
어떤,Modifier,1,1
어떤,Modifier,2,1
어떤,Modifier,3,1
어떤,Modifier,5,1
어떤지,Adjective,3,1
어떤지,Adjective,5,1
어떨까,Adjective,5,1
어떨지,Adjective,2,1
어떨지,Adjective,3,1
어떻,Modifier,1,1
어떻,Modifier,4,1
어떻,Modifier,5,1
어떻게,Adjective,1,11
어떻게,Adjective,2,7
어떻게,Adjective,3,1
어떻게,Adjective,4,2
어떻게,Adjective,5,8
어떻지,Adjective,5,1
어뜻,Noun,3,1
어려,Verb,5,4
어려서,Verb,4,3
어려서,Verb,5,2
어려우니,Verb,4,1
어려운,Adjective,1,1
어려운,Adjective,4,1
어려운,Adjective,5,1
어려운것을,Adjective,4,1
어려운게,Adjective,5,1
어려운데요,Adjective,3,1
어려울,Verb,4,2
어려울,Verb,5,3
어려움,Noun,1,1
어려움,Noun,4,2
어려움,Noun,5,4
어려워,Adjective,5,1
어려워서,Adjective,4,1
어려워질,Verb,4,1
어려웠,Adjective,4,1
어려웠다,Adjective,2,1
어려웠다,Adjective,5,1
어려웠습니다,Adjective,2,1
어려웠습니다,Adjective,3,1
어려웠습니다,Adjective,5,1
어려웠어요,Adjective,3,2
어려웠으며,Adjective,3,1
어려웠지만,Adjective,4,1
어려웠지만,Adjective,5,1
어렵게,Adjective,1,1
어렵게,Adjective,5,2
어렵고,Adjective,3,1
어렵고,Adjective,5,1
어렵다는,Adjective,4,1
어렵습니다,Adjective,5,1
어렵지,Adjective,4,1
어르신,Noun,5,4
어른,Noun,3,1
어른,Noun,4,3
어른,Noun,5,12
어리고,Verb,5,1
어리다,Verb,4,1
어리다면,Verb,5,1
어리면,Verb,5,2
어린,Verb,2,1
어린,Verb,4,4
어린,Verb,5,16
어린아가,Verb,5,1
어린아기,Verb,5,1
어린아이가,Verb,4,1
어린아이가,Verb,5,3
어린아이가있어서,Verb,5,1
어린아이부터,Verb,5,1
어린이,Noun,3,2
어린이,Noun,4,2
어린이,Noun,5,3
어릴,Verb,2,1
어림,Noun,4,1
어마,Noun,5,1
어마어마한,Adjective,5,2
어마어마해서,Adjective,5,1
어매니티,Noun,1,1
어매니티,Noun,3,1
어매니티,Noun,4,1
어매니티,Noun,5,5
어머니,Noun,1,2
어머니,Noun,3,1
어머니,Noun,4,5
어머니,Noun,5,4
어머님,Noun,1,1
어메,Exclamation,4,1
어메,Exclamation,5,1
어메니티,Noun,1,1
어메니티,Noun,2,1
어메니티,Noun,3,5
어메니티,Noun,4,8
어메니티,Noun,5,24
어무,Noun,1,1
어보,Noun,4,2
어부,Noun,4,1
어색해서,Adjective,5,1
어서,Noun,4,2
어서,Noun,5,2
어설픈,Adjective,4,1
어수선한,Adjective,4,1
어수선한,Adjective,5,1
어수선한게,Adjective,4,1
어수선함,Adjective,1,1
어수선함,Adjective,2,1
어수선해도,Adjective,2,1
어수선했습니다,Adjective,5,1
어어어어,Noun,5,1
어요,Noun,3,1
어요,Noun,5,1
어우러진,Verb,5,2
어울리고,Verb,5,1
어울리는,Verb,4,2
어울리는,Verb,5,1
어울리지,Verb,2,1
어울리지,Verb,3,1
어울리지,Verb,4,1
어울릴듯,Verb,5,1
어유,Noun,4,1
어이,Noun,1,3
어이없는,Adjective,3,2
어이없었습니다,Adjective,1,2
어제,Noun,1,1
어제,Noun,4,1
어줍잖은,Adjective,4,1
어줍짢,Noun,5,1
어짜피,Adverb,2,1
어쨌든,Noun,3,1
어쩌나,Adverb,5,1
어쩌려,Noun,1,1
어쩌면,Noun,5,1
어쩌자,Noun,1,1
어쩔,Adverb,2,2
어쩔,Adverb,5,1
어쩔,Modifier,1,1
어쩔,Modifier,2,1
어쩔,Modifier,4,2
어쩔,Modifier,5,2
어쩔,Modifier,8,1
어쩜,Noun,5,2
어찌,Noun,1,1
어찌,Noun,5,3
어찌나,Adverb,5,2
어차피,Noun,4,2
어차피,Noun,5,1
어처구니,Noun,1,1
어처구니없게도,Adjective,3,1
어투,Noun,2,1
어회,Noun,3,1
억,Modifier,5,1
억지로,Noun,1,2
억지로,Noun,2,1
억지스러운,Adjective,5,1
언,Modifier,2,1
언급,Noun,2,1
언급,Noun,4,1
언급,Noun,5,1
언니,Noun,4,1
언니,Noun,5,8
언덕,Noun,1,1
언덕,Noun,5,2
언뜻,Noun,3,1
언어,Noun,5,1
언쟁,Noun,1,1
언제,Noun,1,2
언제,Noun,2,1
언제,Noun,3,1
언제,Noun,4,2
언제,Noun,5,3
언제나,Adverb,1,1
언제나,Adverb,3,1
언제나,Adverb,5,2
얻기,Verb,4,1
얻기는,Verb,5,1
얻는,Verb,5,1
얻어,Verb,5,1
얻어서,Verb,4,1
얻었습니다,Verb,1,1
얻으니,Verb,5,1
얻을,Verb,5,1
얼,Noun,5,1
얼굴,Noun,2,1
얼굴,Noun,4,3
얼굴,Noun,5,6
얼룩,Noun,1,4
얼룩,Noun,2,1
얼룩,Noun,3,1
얼룩지고,Verb,2,1
얼른,Noun,1,1
얼른,Noun,5,2
얼리,Verb,3,3
얼리,Verb,4,1
얼리,Verb,5,9
얼마,Noun,1,2
얼마,Noun,2,2
얼마,Noun,3,1
얼마,Noun,4,6
얼마,Noun,5,27
얼마나,Noun,1,2
얼마나,Noun,2,1
얼마나,Noun,4,1
얼마나,Noun,5,3
얼은,Verb,5,1
엄마,Noun,4,5
엄마,Noun,5,32
엄빠,Noun,5,1
엄지,Noun,5,2
엄청,Adverb,1,5
엄청,Adverb,2,2
엄청,Adverb,3,3
엄청,Adverb,4,10
엄청,Adverb,5,39
엄청나게,Adjective,1,1
엄청나게,Adjective,5,1
엄청난,Adjective,5,2
엄청남,Adjective,4,1
엄청납니다,Adjective,1,1
엄청났다,Adjective,5,1
업,Noun,2,1
업,Noun,4,2
업,Noun,5,5
업그레이드,Noun,1,3
업그레이드,Noun,2,1
업그레이드,Noun,3,3
업그레이드,Noun,4,6
업그레이드,Noun,5,22
업글,Noun,5,4
업글해,Noun,4,1
업력,Noun,4,1
업로드,Noun,1,1
업무,Noun,1,1
업무,Noun,2,1
업무,Noun,4,2
업무,Noun,5,6
업스,Noun,1,1
업업,Noun,4,1
업장,Noun,2,1
업체,Noun,1,4
업체,Noun,2,4
업체,Noun,4,1
업체,Noun,5,3
없,Adjective,3,3
없,Adjective,4,1
없,Adjective,5,2
없게,Adjective,2,1
없게,Adjective,5,2
없겠더라구요,Adjective,5,1
없겠죠,Adjective,4,1
없고,Adjective,1,10
없고,Adjective,2,4
없고,Adjective,3,5
없고,Adjective,4,1
없고,Adjective,5,20
없고요,Adjective,3,1
없구,Adjective,5,2
없구여,Adjective,5,1
없구요,Adjective,4,1
없구요,Adjective,5,3
없기에,Adjective,1,2
없기에,Adjective,3,1
없길래,Adjective,4,1
없나요,Adjective,1,1
없냐고,Adjective,5,1
없네요,Adjective,1,3
없네요,Adjective,3,2
없네요,Adjective,4,5
없네요,Adjective,5,13
없느니만,Adjective,3,1
없는,Adjective,1,8
없는,Adjective,2,6
없는,Adjective,3,5
없는,Adjective,4,13
없는,Adjective,5,22
없는거,Adjective,4,2
없는거,Adjective,5,1
없는건,Adjective,5,1
없는것,Adjective,1,1
없는게,Adjective,4,2
없는게,Adjective,5,3
없는데,Adjective,1,3
없는데,Adjective,4,1
없는데,Adjective,5,2
없는데,Adjective,8,1
없는데다가,Adjective,2,1
없는듯,Adjective,4,1
없는줄,Adjective,4,1
없는지,Adjective,2,1
없는지,Adjective,4,1
없는지,Adjective,5,4
없다,Adjective,1,4
없다,Adjective,2,2
없다,Adjective,3,1
